Year,Month,Day,Hour,Minute,Second,HYY_META.T168
2016,1,5,5,30,0,-20.740334
2016,1,5,6,0,0,-20.165
2016,1,5,6,30,0,-19.215
2016,1,5,7,0,0,-18.756
2016,1,5,7,30,0,-18.613333
2016,1,5,8,0,0,-18.909
2016,1,5,8,30,0,-19.299334
2016,1,5,9,0,0,-19.1
2016,1,5,9,30,0,-18.685667
2016,1,5,10,0,0,-18.530333
2016,1,5,10,30,0,-18.784
2016,1,5,11,0,0,-19.043667
2016,1,5,11,30,0,-19.133
2016,1,5,12,0,0,-19.116
2016,1,5,12,30,0,-19.149334
2016,1,5,13,0,0,-19.245333
2016,1,5,13,30,0,-19.439
2016,1,5,14,0,0,-19.587667
2016,1,5,14,30,0,-19.836
2016,1,5,15,0,0,-20.227667
2016,1,5,15,30,0,-20.625334
2016,1,5,16,0,0,-20.888334
2016,1,5,16,30,0,-21.203
2016,1,5,17,0,0,-21.433
2016,1,5,17,30,0,-21.671667
2016,1,5,18,0,0,-21.826666
2016,1,5,18,30,0,-21.963667
2016,1,5,19,0,0,-22.087667
2016,1,5,19,30,0,-22.229666
2016,1,5,20,0,0,-22.407667
2016,1,5,20,30,0,-22.622
2016,1,5,21,0,0,-22.849667
2016,1,5,21,30,0,-23.012333
2016,1,5,22,0,0,-23.126333
2016,1,5,22,30,0,-23.249332
2016,1,5,23,0,0,-23.295334
2016,1,5,23,30,0,-23.357666
2016,1,6,0,0,0,-23.453333
2016,1,6,0,30,0,-23.624332
2016,1,6,1,0,0,-23.703
2016,1,6,1,30,0,-23.883667
2016,1,6,2,0,0,-24.062666
2016,1,6,2,30,0,-24.203
2016,1,6,3,0,0,-24.342333
2016,1,6,3,30,0,-24.518667
2016,1,6,4,0,0,-24.544333
2016,1,6,4,30,0,-24.583666
2016,1,6,5,0,0,-24.876
2016,1,6,5,30,0,-25.124
2016,1,6,6,0,0,-25.392334
2016,1,6,6,30,0,-25.394333
2016,1,6,7,0,0,-25.367
2016,1,6,7,30,0,-25.426666
2016,1,6,8,0,0,-25.492332
2016,1,6,8,30,0,-25.599667
2016,1,6,9,0,0,-25.863333
2016,1,6,9,30,0,-25.827333
2016,1,6,10,0,0,-25.667
2016,1,6,10,30,0,-25.501333
2016,1,6,11,0,0,-25.341667
2016,1,6,11,30,0,-25.086334
2016,1,6,12,0,0,-25.009333
2016,1,6,12,30,0,-24.944
2016,1,6,13,0,0,-24.896334
2016,1,6,13,30,0,-25.0
2016,1,6,14,0,0,-25.110332
2016,1,6,14,30,0,-25.307333
2016,1,6,15,0,0,-25.627333
2016,1,6,15,30,0,-25.862667
2016,1,6,16,0,0,-26.073668
2016,1,6,16,30,0,-25.977667
2016,1,6,17,0,0,-25.999332
2016,1,6,17,30,0,-26.150333
2016,1,6,18,0,0,-26.178667
2016,1,6,18,30,0,-26.085
2016,1,6,19,0,0,-26.104
2016,1,6,19,30,0,-26.153667
2016,1,6,20,0,0,-26.460667
2016,1,6,20,30,0,-26.743
2016,1,6,21,0,0,-26.880333
2016,1,6,21,30,0,-26.820667
2016,1,6,22,0,0,-26.662666
2016,1,6,22,30,0,-26.775
2016,1,6,23,0,0,-26.76
2016,1,6,23,30,0,-27.139668
2016,1,7,0,0,0,-27.369333
2016,1,7,0,30,0,-27.445333
2016,1,7,1,0,0,-27.589333
2016,1,7,1,30,0,-27.964666
2016,1,7,2,0,0,-27.795334
2016,1,7,2,30,0,-27.593
2016,1,7,3,0,0,-27.688
2016,1,7,3,30,0,-27.419
2016,1,7,4,0,0,-27.334
2016,1,7,4,30,0,-27.455
2016,1,7,5,0,0,-27.644667
2016,1,7,5,30,0,-27.544333
2016,1,7,6,0,0,-27.984333
2016,1,7,6,30,0,-27.836
2016,1,7,7,0,0,-27.732666
2016,1,7,7,30,0,-27.888
2016,1,7,8,0,0,-27.881666
2016,1,7,8,30,0,-27.678
