Year,Month,Day,Hour,Minute,Second,HYY_EDDY233.ET_gapf
2016,1,8,23,0,0,0.045
2016,1,8,23,30,0,0.04
2016,1,9,0,0,0,0.064
2016,1,9,0,30,0,0.07
2016,1,9,1,0,0,0.069
2016,1,9,1,30,0,0.078
2016,1,9,2,0,0,0.069
2016,1,9,2,30,0,0.051
2016,1,9,3,0,0,0.043
2016,1,9,3,30,0,0.044
2016,1,9,4,0,0,0.044
2016,1,9,4,30,0,0.059
2016,1,9,5,0,0,0.067
2016,1,9,5,30,0,0.078
2016,1,9,6,0,0,0.09
2016,1,9,6,30,0,0.098
2016,1,9,7,0,0,0.12
2016,1,9,7,30,0,0.115
2016,1,9,8,0,0,0.109
2016,1,9,8,30,0,0.095
2016,1,9,9,0,0,0.09
2016,1,9,9,30,0,0.09
2016,1,9,10,0,0,0.11
2016,1,9,10,30,0,0.14
2016,1,9,11,0,0,0.192
2016,1,9,11,30,0,0.247
2016,1,9,12,0,0,0.263
2016,1,9,12,30,0,0.274
2016,1,9,13,0,0,0.255
2016,1,9,13,30,0,0.216
2016,1,9,14,0,0,0.221
2016,1,9,14,30,0,0.188
2016,1,9,15,0,0,0.174
2016,1,9,15,30,0,0.185
2016,1,9,16,0,0,0.172
2016,1,9,16,30,0,0.173
2016,1,9,17,0,0,0.187
2016,1,9,17,30,0,0.195
2016,1,9,18,0,0,0.206
2016,1,9,18,30,0,0.201
2016,1,9,19,0,0,0.205
2016,1,9,19,30,0,0.208
2016,1,9,20,0,0,0.214
2016,1,9,20,30,0,0.207
2016,1,9,21,0,0,0.202
2016,1,9,21,30,0,0.179
2016,1,9,22,0,0,0.138
2016,1,9,22,30,0,0.102
2016,1,9,23,0,0,0.102
2016,1,9,23,30,0,0.09
2016,1,10,0,0,0,0.096
2016,1,10,0,30,0,0.099
2016,1,10,1,0,0,0.087
2016,1,10,1,30,0,0.1
2016,1,10,2,0,0,0.098
2016,1,10,2,30,0,0.094
2016,1,10,3,0,0,0.091
2016,1,10,3,30,0,0.089
2016,1,10,4,0,0,0.09
2016,1,10,4,30,0,0.088
2016,1,10,5,0,0,0.091
2016,1,10,5,30,0,0.093
2016,1,10,6,0,0,0.085
2016,1,10,6,30,0,0.072
2016,1,10,7,0,0,0.091
2016,1,10,7,30,0,0.12
2016,1,10,8,0,0,0.13
2016,1,10,8,30,0,0.126
2016,1,10,9,0,0,0.143
2016,1,10,9,30,0,0.166
2016,1,10,10,0,0,0.203
2016,1,10,10,30,0,0.233
2016,1,10,11,0,0,0.257
2016,1,10,11,30,0,0.278
2016,1,10,12,0,0,0.29
2016,1,10,12,30,0,0.275
2016,1,10,13,0,0,0.254
2016,1,10,13,30,0,0.208
2016,1,10,14,0,0,0.2
2016,1,10,14,30,0,0.209
2016,1,10,15,0,0,0.208
2016,1,10,15,30,0,0.193
2016,1,10,16,0,0,0.198
2016,1,10,16,30,0,0.197
2016,1,10,17,0,0,0.194
2016,1,10,17,30,0,0.198
2016,1,10,18,0,0,0.201
2016,1,10,18,30,0,0.193
2016,1,10,19,0,0,0.199
2016,1,10,19,30,0,0.195
2016,1,10,20,0,0,0.203
2016,1,10,20,30,0,0.211
2016,1,10,21,0,0,0.205
2016,1,10,21,30,0,0.21
2016,1,10,22,0,0,0.209
2016,1,10,22,30,0,0.214
2016,1,10,23,0,0,0.19
2016,1,10,23,30,0,0.203
2016,1,11,0,0,0,0.231
2016,1,11,0,30,0,0.226
2016,1,11,1,0,0,0.233
2016,1,11,1,30,0,0.229
2016,1,11,2,0,0,0.226
2016,1,11,2,30,0,0.229
2016,1,11,3,0,0,0.225
2016,1,11,3,30,0,0.231
2016,1,11,4,0,0,0.234
2016,1,11,4,30,0,0.231
2016,1,11,5,0,0,0.05
2016,1,11,5,30,0,-0.013
2016,1,11,6,0,0,-0.004
2016,1,11,6,30,0,0.062
2016,1,11,7,0,0,0.064
2016,1,11,7,30,0,0.094
2016,1,11,8,0,0,-0.004
2016,1,11,8,30,0,0.063
2016,1,11,9,0,0,0.06
2016,1,11,9,30,0,0.074
2016,1,11,10,0,0,0.091
2016,1,11,10,30,0,0.128
2016,1,11,11,0,0,0.102
2016,1,11,11,30,0,0.121
2016,1,11,12,0,0,0.178
2016,1,11,12,30,0,0.206
2016,1,11,13,0,0,0.191
2016,1,11,13,30,0,0.258
2016,1,11,14,0,0,0.207
2016,1,11,14,30,0,0.123
2016,1,11,15,0,0,0.133
2016,1,11,15,30,0,0.194
2016,1,11,16,0,0,0.136
2016,1,11,16,30,0,0.151
2016,1,11,17,0,0,0.119
2016,1,11,17,30,0,0.159
2016,1,11,18,0,0,0.138
2016,1,11,18,30,0,0.231
2016,1,11,19,0,0,0.159
2016,1,11,19,30,0,0.231
2016,1,11,20,0,0,0.086
2016,1,11,20,30,0,0.157
2016,1,11,21,0,0,0.207
2016,1,11,21,30,0,0.105
2016,1,11,22,0,0,0.18
2016,1,11,22,30,0,0.194
2016,1,11,23,0,0,0.161
2016,1,11,23,30,0,0.25
2016,1,12,0,0,0,0.328
2016,1,12,0,30,0,0.3
2016,1,12,1,0,0,0.386
2016,1,12,1,30,0,0.373
2016,1,12,2,0,0,0.442
2016,1,12,2,30,0,0.395
2016,1,12,3,0,0,0.364
2016,1,12,3,30,0,0.458
2016,1,12,4,0,0,0.437
2016,1,12,4,30,0,0.465
2016,1,12,5,0,0,0.174
2016,1,12,5,30,0,1.029
2016,1,12,6,0,0,1.183
2016,1,12,6,30,0,0.935
2016,1,12,7,0,0,0.533
2016,1,12,7,30,0,0.654
2016,1,12,8,0,0,0.727
2016,1,12,8,30,0,0.629
2016,1,12,9,0,0,0.158
2016,1,12,9,30,0,0.704
2016,1,12,10,0,0,0.501
2016,1,12,10,30,0,0.257
2016,1,12,11,0,0,0.57
2016,1,12,11,30,0,0.837
2016,1,12,12,0,0,0.605
2016,1,12,12,30,0,0.529
2016,1,12,13,0,0,0.591
2016,1,12,13,30,0,0.53
2016,1,12,14,0,0,0.81
2016,1,12,14,30,0,0.493
2016,1,12,15,0,0,0.46
2016,1,12,15,30,0,0.645
2016,1,12,16,0,0,0.548
2016,1,12,16,30,0,0.488
2016,1,12,17,0,0,0.445
2016,1,12,17,30,0,0.626
2016,1,12,18,0,0,0.594
2016,1,12,18,30,0,0.506
2016,1,12,19,0,0,0.538
2016,1,12,19,30,0,0.556
2016,1,12,20,0,0,0.605
2016,1,12,20,30,0,0.608
2016,1,12,21,0,0,0.516
2016,1,12,21,30,0,0.516
2016,1,12,22,0,0,0.879
2016,1,12,22,30,0,0.942
2016,1,12,23,0,0,1.098
2016,1,12,23,30,0,0.64
2016,1,13,0,0,0,0.696
2016,1,13,0,30,0,0.873
2016,1,13,1,0,0,0.417
2016,1,13,1,30,0,0.67
2016,1,13,2,0,0,0.376
2016,1,13,2,30,0,0.238
2016,1,13,3,0,0,0.397
2016,1,13,3,30,0,0.463
2016,1,13,4,0,0,0.62
2016,1,13,4,30,0,0.339
2016,1,13,5,0,0,0.511
2016,1,13,5,30,0,0.318
2016,1,13,6,0,0,0.343
2016,1,13,6,30,0,0.543
2016,1,13,7,0,0,0.375
2016,1,13,7,30,0,0.429
2016,1,13,8,0,0,0.371
2016,1,13,8,30,0,0.389
2016,1,13,9,0,0,0.232
2016,1,13,9,30,0,0.244
2016,1,13,10,0,0,0.396
2016,1,13,10,30,0,0.253
2016,1,13,11,0,0,0.469
2016,1,13,11,30,0,0.517
2016,1,13,12,0,0,0.717
2016,1,13,12,30,0,0.448
2016,1,13,13,0,0,0.571
2016,1,13,13,30,0,0.386
2016,1,13,14,0,0,0.479
2016,1,13,14,30,0,0.569
2016,1,13,15,0,0,0.476
2016,1,13,15,30,0,0.288
2016,1,13,16,0,0,0.215
2016,1,13,16,30,0,0.22
2016,1,13,17,0,0,0.394
2016,1,13,17,30,0,0.254
2016,1,13,18,0,0,0.215
2016,1,13,18,30,0,0.377
2016,1,13,19,0,0,0.296
2016,1,13,19,30,0,0.184
2016,1,13,20,0,0,0.41
2016,1,13,20,30,0,0.234
2016,1,13,21,0,0,0.196
2016,1,13,21,30,0,0.332
2016,1,13,22,0,0,0.224
2016,1,13,22,30,0,0.284
2016,1,13,23,0,0,0.258
2016,1,13,23,30,0,0.202
2016,1,14,0,0,0,0.207
2016,1,14,0,30,0,0.267
2016,1,14,1,0,0,0.072
2016,1,14,1,30,0,0.119
2016,1,14,2,0,0,0.125
2016,1,14,2,30,0,0.208
2016,1,14,3,0,0,0.315
2016,1,14,3,30,0,0.324
2016,1,14,4,0,0,0.284
2016,1,14,4,30,0,0.234
2016,1,14,5,0,0,0.271
2016,1,14,5,30,0,0.19
2016,1,14,6,0,0,0.222
2016,1,14,6,30,0,0.192
2016,1,14,7,0,0,0.202
2016,1,14,7,30,0,0.062
2016,1,14,8,0,0,0.112
2016,1,14,8,30,0,0.06
2016,1,14,9,0,0,0.156
2016,1,14,9,30,0,0.129
2016,1,14,10,0,0,0.077
2016,1,14,10,30,0,0.085
2016,1,14,11,0,0,0.165
2016,1,14,11,30,0,0.128
2016,1,14,12,0,0,0.161
2016,1,14,12,30,0,0.137
2016,1,14,13,0,0,0.282
2016,1,14,13,30,0,0.102
2016,1,14,14,0,0,0.121
2016,1,14,14,30,0,0.056
2016,1,14,15,0,0,0.05
2016,1,14,15,30,0,0.002
2016,1,14,16,0,0,-0.043
2016,1,14,16,30,0,-0.026
2016,1,14,17,0,0,-0.143
2016,1,14,17,30,0,-0.089
2016,1,14,18,0,0,-0.093
2016,1,14,18,30,0,-0.093
2016,1,14,19,0,0,-0.068
2016,1,14,19,30,0,-0.106
2016,1,14,20,0,0,-0.129
2016,1,14,20,30,0,0.018
2016,1,14,21,0,0,0.044
2016,1,14,21,30,0,0.126
2016,1,14,22,0,0,0.148
2016,1,14,22,30,0,0.165
2016,1,14,23,0,0,0.221
2016,1,14,23,30,0,-0.108
