Datenum RHTd Global Event NonEvent
729800 NaN 30.2664705882353 0 1
729802 NaN 148.916111111111 1 0
729803 NaN 171.117777777778 1 0
729810 NaN 121.261052631579 0 1
729815 NaN NaN 0 1
729817 NaN NaN 0 1
729822 NaN NaN 1 0
729824 NaN NaN 1 0
729826 NaN NaN 1 0
729828 NaN NaN 1 0
729829 NaN NaN 1 0
729830 NaN NaN 0 1
729831 NaN NaN 0 1
729834 NaN NaN 0 1
729836 NaN NaN 1 0
729837 NaN NaN 1 0
729839 NaN NaN 0 1
729840 NaN NaN 0 1
729845 NaN NaN 0 1
729846 NaN NaN 1 0
729847 NaN NaN 1 0
729849 NaN NaN 1 0
729851 NaN NaN 1 0
729853 NaN NaN 1 0
729854 NaN NaN 1 0
729855 NaN NaN 1 0
729857 NaN NaN 1 0
729859 NaN NaN 1 0
729860 NaN NaN 1 0
729863 98.3051724137931 NaN 0 1
729864 81.4937931034483 NaN 0 1
729865 90.9837931034483 NaN 0 1
729866 94.3806666666667 NaN 0 1
729867 58.469 NaN 0 1
729869 44.192 NaN 0 1
729874 39.9803333333333 NaN 0 1
729876 56.8851612903226 NaN 0 1
729877 75.7565625 NaN 0 1
729878 94.955 NaN 0 1
729879 80.9746875 NaN 0 1
729880 94.3193548387097 NaN 0 1
729881 97.3770967741935 NaN 0 1
729882 94.0448275862069 NaN 0 1
729888 41.1878787878788 NaN 1 0
729895 41.7497142857143 NaN 1 0
729896 69.6151428571429 NaN 1 0
729897 82.8351724137931 NaN 0 1
729899 92.2288571428571 NaN 0 1
729902 69.8631428571428 NaN 0 1
729904 83.7275 NaN 0 1
729907 95.7667567567568 NaN 0 1
729908 96.9483783783784 NaN 0 1
729911 81.3291666666667 NaN 0 1
729912 40.04 NaN 1 0
729914 95.7232432432432 NaN 0 1
729916 73.8005405405405 NaN 0 1
729917 72.2854054054054 NaN 0 1
729918 88.9910810810811 NaN 0 1
729922 67.625 NaN 0 1
729924 79.4505263157895 NaN 0 1
729926 87.4602631578948 NaN 0 1
729927 97.215 NaN 0 1
729928 95.2807894736842 NaN 0 1
729929 81.7855555555556 NaN 0 1
729933 45.6318421052632 NaN 0 1
729934 44.6044736842105 NaN 0 1
729949 NaN NaN 0 1
729964 74.0172727272727 NaN 0 1
729965 93.6214705882353 NaN 0 1
729974 74.1285 NaN 0 1
729975 72.9938461538461 NaN 1 0
729976 81.4984375 NaN 1 0
729979 69.1059375 NaN 0 1
729980 66.12 NaN 0 1
729983 90.3316666666667 NaN 0 1
729984 86.1866666666667 NaN 0 1
729985 95.8028571428571 NaN 0 1
729989 96.741 NaN 0 1
729990 88.8746666666667 NaN 0 1
729991 88.0293103448276 NaN 0 1
729993 85.7224137931034 NaN 0 1
729994 83.8814285714286 NaN 1 0
729995 94.9132142857143 NaN 0 1
729996 97.2375 NaN 0 1
729997 NaN NaN 0 1
